ID,Title,charset,URL,Keywords
1,青岛大学 Qingdao University,UTF-8-SIG,http://www.qdu.edu.cn/index.htm,青岛大学 Qingdao University
2,青大要闻-青岛大学 Qingdao University,UTF-8-SIG,http://www.qdu.edu.cn/qdyw.htm,"青岛大学 Qingdao University,青大要闻"
3,校党委书记、校长范跃进2018年新年贺词-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17258.htm,"青岛大学 Qingdao University,青大要闻"
4,我校国家级科技创新平台建设获重大突破-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17270.htm,"青岛大学 Qingdao University,青大要闻"
5,“青岛大学—青岛银行奖学金”颁奖仪式举行-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1023/17269.htm,"青岛大学 Qingdao University,青大要闻"
6,我校获评全省“为侨公共服务示范单位”-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17266.htm,"青岛大学 Qingdao University,青大要闻"
7,我校举办首届“国际青年学者崂山论坛”-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17264.htm,"青岛大学 Qingdao University,青大要闻"
8,我校举办2018新年民族音乐会-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17263.htm,"青岛大学 Qingdao University,青大要闻"
9,我校举行2017年健身徒步行活动-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17247.htm,"青岛大学 Qingdao University,青大要闻"
10,我校与市北区人民政府签署战略合作协议-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17243.htm,"青岛大学 Qingdao University,青大要闻"
11,英国萨里大学校长访问我校-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17242.htm,"青岛大学 Qingdao University,青大要闻"
12,我校举行财富管理与资本市场发展研讨会暨资本市场研究院揭牌仪式-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17238.htm,"青岛大学 Qingdao University,青大要闻"
13,我校2017年成人高考招生工作圆满结束-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17232.htm,"青岛大学 Qingdao University,青大要闻"
14,2018年全国硕士研究生入学考试在我校顺利举行-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17231.htm,"青岛大学 Qingdao University,青大要闻"
15,我校召开人事人才工作会议-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17241.htm,"青岛大学 Qingdao University,青大要闻"
16,教师代表毕赛在青岛大学胶州科教产业园开工奠基仪式上的发言-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17195.htm,"青岛大学 Qingdao University,青大要闻"
17,范跃进在青岛大学胶州科教产业园开工奠基仪式上的讲话-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17194.htm,"青岛大学 Qingdao University,青大要闻"
18,国家外国专家局领导调研高分子杂化材料创新引智基地 -青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17183.htm,"青岛大学 Qingdao University,青大要闻"
19,我校11位专家入选泰山学者建设工程-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17182.htm,"青岛大学 Qingdao University,青大要闻"
20,青岛大学胶州科教产业园开工奠基-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17178.htm,"青岛大学 Qingdao University,青大要闻"
21,学校学习贯彻党的十九大精神宣讲工作全面展开-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17121.htm,"青岛大学 Qingdao University,青大要闻"
22,学校对推进“两学一做”学习教育常态化制度化和基层党建工作进行集中督导-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1021/17173.htm,"青岛大学 Qingdao University,青大要闻"
23,文化学术-青岛大学 Qingdao University,UTF-8-SIG,http://www.qdu.edu.cn/whxs.htm,"青岛大学 Qingdao University,文化学术"
24,我校美术学院王子煜荣获亨斯曼世界中老年运动会国际志愿者金奖-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17268.htm,"青岛大学 Qingdao University,青大要闻"
25,医学部举办第九届中青年教师教学大奖赛及第六届青年教师英语授课大赛-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17254.htm,"青岛大学 Qingdao University,青大要闻"
26,南开大学教授、国家杰青卜显和来化学化工学院做学术报告-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17252.htm,"青岛大学 Qingdao University,青大要闻"
27,我校举办第四十八、四十九场青岛大学优秀中青年教师国内外访学汇报交流会-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17259.htm,"青岛大学 Qingdao University,青大要闻"
28,我校学子在山东省第九届大学生科技节大学物理竞赛单元中获佳绩-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17245.htm,"青岛大学 Qingdao University,青大要闻"
29,我校举行第四十七场优秀中青年骨干教师国际访学汇报交流会-青大视点-青岛大学新闻网,UTF-8-SIG,http://news.qdu.edu.cn/info/1022/17244.htm,"青岛大学 Qingdao University,青大要闻"
